,LSL,Target,USL,N,Mean,3Sigma,Cp,K,Cpk,Parameter,Info,Units
84,9.0,9.5,50.0,11187,11.08197953,0.1585878622,129.26588276,0.0771697332,119.29046908,BVDNNO-1,HVF_nzh_BV_1x0.75_,(V)
85,-0.392,-0.313,-0.248,11196,-0.30631412,0.0138983979,5.1804532023,0.0928594414,4.6993992119,IONPNO-1,HVF_pzh_Ids_1x0.7_,(mA)
86,-0.375,-0.25,-0.115,11195,-0.263557572,0.06290700219999999,2.0665426013999997,0.1042890164,1.8510249062000002,VTHPNO-1,HVF_pzh_Vth_1x0.7_,(V)
87,-50.0,-9.5,-9.0,11196,-10.72441479,0.1258018851,162.95463292,0.0597275508,153.22175181,BVDPNO-1,HVF_pzh_BV_1x0.7_,(V)
88,46529.0,132118.0,217708.0,11196,147364.4507,17163.074995,4.9868394810000005,0.17813459239999999,4.0985108625999995,RSWL,RES_WL_R_0.2x1671.8_,(ohm)
89,9.0,9.5,50.0,11192,9.7563142423,0.1477380733,138.75908583,0.012503133799999998,137.02416242,BVDNSHS,HVF_nehs_BV_1x0.6_,(V)
90,9.0,9.5,50.0,11180,11.049522809,0.1534634462,133.58229932,0.0755864785,123.48528372,BVDNNOS,HVF_nzhs_BV_1x0.7_,(V)
91,0.24,0.33399999999999996,0.40399999999999997,11196,0.3027217605,0.059921845999999994,1.3684491622,0.3814419457,0.8464652511,VTHN_SB1p0,HVF_nzhsb_Vth_2.8x1_,(V)
92,1.03,1.16,1.28,11196,1.1399248392,0.0433215658,2.8853989391000003,0.1606012862,2.4220001583,IONN_SB1p0,HVF_nzhsb_Ids_2.8x1_,(mA)
93,9.0,9.5,50.0,11196,11.306727939000002,0.19077277920000002,107.45767861,0.0881330702,97.98710348200001,BVDN_SB1p0,HVF_nzhsb_BV_2.8x1_,(V)
94,,,-9.0,11161,-12.37467974,2.0804794474,,,1.6220682918,FIONNPNO-H,FIELD_nMOS_p2_int_Ids_10x0.3_9v,(log(A))
95,,,-9.0,11168,-11.86167548,0.9994073079000001,,,2.8633725748,FIONPPNO-H,FIELD_pMOS_p2_int_Ids_10x0.3_9v,(log(A))
96,,,-8.0,11142,-8.774452007,0.47014204270000004,,,1.6472723909,SUMIOFF,LV_SUMIOFF_parallel_x16_Log10(Ioff)_ZE,(log(A))
