IOFN33L,HV33_nt33_Log10(Ioff)_10x0.35_,(log(A)),-,-,-6.63,11192,-7.839731372,0.5732967887,-,-,2.1101310794,-7.839935723,0.1242017065,-0.838495918,0.0461018638
R-TMA,RES_MT_RS_0.8x1000_,(ohm),31.4,40.7,48.9,11177,38.035416928,5.8606155748,1.4930172246,0.3045237797,1.0383579762,38.031424363,0.6283827603,-0.194418206,0.2259949512
VTHP33S,HV33_pts33_Vth_10x0.35_,(V),-0.572,-0.497,-0.4,11195,-0.490632173,0.023547455,3.6521993608,0.0740444966,3.3817740977,-0.490632787,0.0059348338,-2.291532961,0.0644516183
IONP33S,HV33_pts33_Ids_10x0.35_,(mA),-3.51,-2.8,-2.46,11194,-2.849430454,0.0957444443,5.4833468811,0.0941532454,4.9670719768,-2.849466428,0.0252216644,-1.716242884,0.084003305
IOFP33S,HV33_pts33_Log10(Ioff)_10x0.35_,(log(A)),-,-,-9.13,11133,-11.17831462,0.2387332827,-,-,8.5799290262,-11.17836013,0.0543615993,-1.234426177,0.0367842404
VTHP33L,HV33_pt33_Vth_10x0.35_,(V),-0.369,-0.271,-0.192,11194,-0.237421391,0.0177532085,4.9850144074,0.3794193116,3.0936036727,-0.237415091,0.0039380593,-2.355685972,0.0478348626
IONP33L,HV33_pt33_Ids_10x0.35_,(mA),-4.38,-3.5,-3.13,11193,-3.68643353,0.1032275762,6.0545836973,0.2982936478,4.2485398403,-3.686502746,0.026316941,-1.658653064,0.0721956285
IOFP33L,HV33_pt33_Log10(Ioff)_10x0.35_,(log(A)),-,-,-7.82,11194,-8.95842681,0.2196091854,-,-,5.1838761102,-8.958358242,0.0477170654,-1.255959605,0.0445395304
RCP-LAA,VIA_poly_R_1x20000_,(ohm),512300,912300,1512300,11178,930607.61439,158422.10131,3.1561252872,0.0366152288,3.0405630378,930611.85129,28704.883476,4.4310778556,0.1759866436
RCFL-LAA,VIA_diff_R_1x20000_,(ohm),823480,1323480,2523480,11188,1332475.8938,201423.72933,4.2199595988,0.0105834045,4.1752980595,1332555.3881,41825.406817,4.6866734124,0.1325382095
VTCNUV,LV_nz_Vtc_0.5x0.2_Iso,(V),0.242,0.33,0.407,11196,0.3233062853,0.0470659054,1.7528612127,0.081135936,1.6106411775,0.3233079772,0.0040247618,-1.818759205,0.0193446652
VTCNTRDP,LV_transfer_Vtc_0.2x0.12_,(V),0.469,0.631,0.785,11196,0.5736716059,0.0890714985,1.773855864,0.3628379371,1.1302336615,0.5736462418,0.0075331955,-1.541660024,0.021218727
IONNTRDP,LV_transfer_Ids_0.2x0.12_DP,(mA),0.033,0.0567,0.0968,11195,0.0701356525,0.0125919333,2.5333679332,0.4211803299,1.4663631914,0.0701385385,0.0014864262,-2.406450207,0.0282700645
IOFNTRDP,LV_transfer_Log10(Ioff)_0.2x0.12_,(log(A)),-,-,-9.72,11083,-11.27833423,0.8608200625,-,-,1.8102903212,-11.27813378,0.0734294007,-0.558938265,0.0383603272
VTHNFPG2,CELL_Prog75µs_Vtsat_0.2x0.2_,(V),7.11,7.71,8.31,11196,7.6192086459,0.4864781601,1.2333544427,0.1513189234,1.0467245762,7.6194006023,0.0588471167,-0.820385845,0.0238272019
VTHNFDD,CELL_DrainDist1_Vtsat_0.2x0.2_,(V),7.08,7.68,8.29,11196,7.5936736334,0.4861162942,1.2445581587,0.1426882092,1.0669743838,7.5938644364,0.0573742873,-0.819169461,0.023790123
VTHNFER2,CELL_Erase100ms_Vtsat_0.2x0.2_,(V),1.47,2.57,3.67,11192,2.6443406004,0.8899158645,1.2360719073,0.067582364,1.1525352457,2.6446483954,0.1075365273,-0.559110429,0.0309310221
VTHNFGD2,CELL_GateDist2_Vtsat_0.2x0.2_,(V),1.49,2.58,3.66,11195,2.6535596248,0.8777274671,1.2361468003,0.0677968892,1.1523398925,2.6538412401,0.1059494869,-0.564901397,0.0300993813
IONNH,HVF_neh_Ids_1x0.6_,(mA),0.377,0.476,0.56,11196,0.4729129118,0.0179803825,5.0888795139,0.0337386694,4.9171874906,0.4729032943,0.0041522307,-2.369454143,0.0652019772
VTHNH,HVF_neh_Vth_1x0.6_,(V),0.396,0.536,0.667,11194,0.5462995676,0.0749090154,1.808861047,0.0760115692,1.6713666803,0.5462940782,0.0147117085,-1.693140484,0.0209409286
BVNGOX-1,CAP_hvfn_BV_583.2_FieldEdge,(V),-50,-12,-9,11196,-17.95949893,0.6435109565,31.856489455,0.2907072648,22.59557654,-17.95957849,0.1045555173,-0.732641451,0.0572835536
C-GN---3a,CAP_hvfnAcc_EOT_500_1MHz@-5V_monitor_only,(Ang),138,150,162,11196,151.23093344,6.1917923312,1.9380494949,0.1025777866,1.7392486673,151.23067369,1.714437832,0.0666169374,0.0491889498
BVNGOX-2a,CAP_hvfnAcc_BV_500_Area,(V),15.8,17.3,18.8,11196,17.388710254,0.506438826,2.9618582207,0.0591401691,2.7866934246,17.389118164,0.1105294816,-0.895548884,0.049593845
IONNPA,CELL_P1_Ids_0.2x0.2_,(mA),0.0015,0.0082,0.0148,11196,0.0088350038,0.0051868173,1.2820964414,0.0954892899,1.1596699626,0.0088326579,0.0005318991,-2.784533318,0.0299956513
VTHNPA,CELL_P1_Vtsat_0.2x0.2_,(V),1.19,1.51,1.83,11194,1.4795488655,0.2432029998,1.3157732442,0.0951597954,1.1905645315,1.4796544302,0.0214539825,-1.106612684,0.0207552636
BVDNPA,CELL_P1_BV_0.2x0.2_,(V),5.7,-,-,11195,6.1080080393,0.0853854483,-,-,4.7784259199,6.1079362374,0.0222897515,-1.748467704,0.0416934373
IONPH,HVF_peh_Ids_1x0.6_,(mA),-0.328,-0.289,-0.254,11196,-0.287591989,0.0147821327,2.5030217676,0.0380543486,2.4077709048,-0.287588217,0.0026067512,-2.381605662,0.0477911268
VTHPH,HVF_peh_Vth_1x0.6_,(V),-0.673,-0.558,-0.432,11196,-0.574199945,0.0772042611,1.5607946797,0.1344393745,1.3509624193,-0.574184196,0.0117161475,-1.640283107,0.0314333043
BVDPH,HVF_peh_BV_1x0.6_,(V),-50,-9.5,-9,11195,-10.25549692,0.1260697331,162.60841909,0.0368535082,156.61572838,-10.25555635,0.0234431675,-1.456671883,0.0298421469
C-GP---5a,CAP_hvfpAcc_EOT_500_1MHz@+5V_monitor_only,(Ang),138,150,162,11196,150.47501692,4.2784135663,2.8047779426,0.0395847431,2.6937515284,150.4776161,0.9554465911,0.0208686385,0.0604279477
BVPGOX-1,CAP_hvfp_BV_583.2_FieldEdge,(V),9,12,50,11196,17.508190425,0.5096991767,40.219802064,0.2686922159,29.413054326,17.508384791,0.0995040327,-0.86467005,0.0545137491
RSCRS2,RES_CoreSD_RS_10x60.72_,(ohm),10.5,15.5,21,11196,17.957081368,2.7087660791,1.9381518546,0.4680154987,1.0310667478,17.958508223,0.4549230977,-0.117193746,0.0736293271
BVTN,CAP_TN_BV_._MixedEdge,(V),-50,-12,-9,11196,-13.83975974,0.3372280249,60.789728269,0.0897443773,55.334191957,-13.84014244,0.0708763852,-1.073781091,0.0958525225
BVTN---3,CAP_TN_BV_1168.2_Area,(V),-13,-12.5,-12,11188,-12.35478191,0.1560116542,3.2048887792,0.2904361816,2.2740731196,-12.35499446,0.0362273449,-1.442207865,0.1019357121
C-PA-PB1,CAP_ONO1_EOT_1216.4_1MHz,(Ang),112.2,124.2,136.2,11194,127.33720055,4.6408656681,2.5857244872,0.2614333789,1.9097297976,127.33402584,1.2815118822,-0.077612513,0.1071793569
BVPA-PB2,CAP_ONO2_BV_1216.3744_Area,(V),-50,-12,-9,11193,-18.62360851,0.4985222598,41.121533884,0.3231028539,27.835048929,-18.62325405,0.1441890029,-1.117523021,0.1492145998
RSPA,RES_Poly1_R_0.5x60_,(ohm),611,1505,2399,11196,1469.6941497,203.43322314,4.3945624328,0.0394920026,4.2210123619,1469.7210966,54.198044057,1.6088002855,0.0630334893
IONNNO-1,HVF_nzh_Ids_1x0.75_,(mA),0.399,0.482,0.557,11195,0.5014843403,0.0186384007,4.2385610895,0.2466372194,3.1931741682,0.5014726435,0.0046033925,-2.381961644,0.0608142466
VTHNNO-1,HVF_nzh_Vth_1x0.75_,(V),0.126,0.254,0.383,11195,0.238225439,0.0660470267,1.9455834177,0.1227592293,1.7067450968,0.2382513526,0.0170234012,-1.853367281,0.0481613459
BVDNNO-1,HVF_nzh_BV_1x0.75_,(V),9,9.5,50,11187,11.08197953,0.1585878622,129.26588276,0.0771697332,119.29046908,11.081890287,0.0434371277,-1.517277779,0.0497349984
IONPNO-1,HVF_pzh_Ids_1x0.7_,(mA),-0.392,-0.313,-0.248,11196,-0.30631412,0.0138983979,5.1804532023,0.0928594414,4.6993992119,-0.306313943,0.0027490795,-2.430341614,0.0451743772
VTHPNO-1,HVF_pzh_Vth_1x0.7_,(V),-0.375,-0.25,-0.115,11195,-0.263557572,0.0629070022,2.0665426014,0.1042890164,1.8510249062,-0.263540487,0.012843477,-1.779959868,0.0340790773
BVDPNO-1,HVF_pzh_BV_1x0.7_,(V),-50,-9.5,-9,11196,-10.72441479,0.1258018851,162.95463292,0.0597275508,153.22175181,-10.72445605,0.0229273261,-1.455369441,0.0385231752
RSWL,RES_WL_R_0.2x1671.8_,(ohm),46529,132118,217708,11196,147364.4507,17163.074995,4.986839481,0.1781345924,4.0985108626,147373.58171,3843.5019711,3.6223831541,0.0621279446
BVDNSHS,HVF_nehs_BV_1x0.6_,(V),9,9.5,50,11192,9.7563142423,0.1477380733,138.75908583,0.0125031338,137.02416242,9.7562710142,0.0390726591,-1.520800115,0.0466670057
BVDNNOS,HVF_nzhs_BV_1x0.7_,(V),9,9.5,50,11180,11.049522809,0.1534634462,133.58229932,0.0755864785,123.48528372,11.049455214,0.0391995205,-1.481417354,0.0467065855
VTHN_SB1p0,HVF_nzhsb_Vth_2.8x1_,(V),0.24,0.334,0.404,11196,0.3027217605,0.059921846,1.3684491622,0.3814419457,0.8464652511,0.3027506985,0.0166737828,-1.959103466,0.071557973
IONN_SB1p0,HVF_nzhsb_Ids_2.8x1_,(mA),1.03,1.16,1.28,11196,1.1399248392,0.0433215658,2.8853989391,0.1606012862,2.4220001583,1.1398867281,0.0108834956,-2.027843688,0.0739325991
BVDN_SB1p0,HVF_nzhsb_BV_2.8x1_,(V),9,9.5,50,11196,11.306727939,0.1907727792,107.45767861,0.0881330702,97.987103482,11.306613743,0.0514318487,-1.432517732,0.0833392024
FIONNPNO-H,FIELD_nMOS_p2_int_Ids_10x0.3_9v,(log(A)),-,-,-9,11161,-12.37467974,2.0804794474,-,-,1.6220682918,-12.37724501,0.6632852066,-0.750054356,0.210738959
FIONPPNO-H,FIELD_pMOS_p2_int_Ids_10x0.3_9v,(log(A)),-,-,-9,11168,-11.86167548,0.9994073079,-,-,2.8633725748,-11.8618355,0.3261639203,-1.247918323,0.3082740516
SUMIOFF,LV_SUMIOFF_parallel_x16_Log10(Ioff)_ZE,(log(A)),-,-,-8,11142,-8.774452007,0.4701420427,-,-,1.6472723909,-8.774495876,0.0952664787,-0.912395362,0.0688050258
